date,user_id,text,url,renderedContent,user_name,user_followers,replyCount,retweet-count,likeCount,quoteCount,lang,conversationId,outlinks,source,is_retweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,user_location,hashtags,cashtags,mentionedUsers.1,outlinks.1,tcooutlinks,sourceLabel,Sarcasm,Sentiment,Polarity
2022-06-01 23:59:35+00:00,1532149896089702400,@xQc I bet Pokimaine is angry Amber lost,https://twitter.com/TubaZombi/status/1532149896089702400,@xQc I bet Pokimaine is angry Amber lost,TubaZombi,3,0,0,0,0,en,1532085392995909640,,,,,1.5320853929959096e+18,https://twitter.com/xQc,"[User(username='xQc', id=785651770697523200, displayname='xQc', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='xQc', id=785651770697523200, displayname='xQc', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.98594993
2022-06-01 23:59:34+00:00,1532149891522338818,"I can't defend Halle for liking that post but it's crazy to me that you guys are more angry at her than the other celebrities that liked the post and the man that tweeted ""L Amber"". It shows that you were just waiting for a reason to drag her. https://t.co/FG6oh2OPz0",https://twitter.com/letherosietoo/status/1532149891522338818,"I can't defend Halle for liking that post but it's crazy to me that you guys are more angry at her than the other celebrities that liked the post and the man that tweeted ""L Amber"". It shows that you were just waiting for a reason to drag her. twitter.com/kissnlyene/sta…",letherosietoo,573,0,0,14,0,en,1532149891522338818,['https://twitter.com/kissnlyene/status/1532096113553162240'],,,https://twitter.com/kissnlyene/status/1532096113553162240,,,,,,,,,['https://twitter.com/kissnlyene/status/1532096113553162240'],['https://t.co/FG6oh2OPz0'],Twitter for Android,0,1,0.8573003
2022-06-01 23:59:34+00:00,1532149889429544960,Naa diay gyuy mga ingani noh? Kaluod. Or basin naa say troll farm si amber. https://t.co/UKx7J1nIEw,https://twitter.com/somemadhope09/status/1532149889429544960,Naa diay gyuy mga ingani noh? Kaluod. Or basin naa say troll farm si amber. twitter.com/a_mberheard/st…,somemadhope09,184,0,0,0,0,tl,1532149889429544960,['https://twitter.com/a_mberheard/status/1532084059270152198'],,,https://twitter.com/a_mberheard/status/1532084059270152198,,,,,,,,,['https://twitter.com/a_mberheard/status/1532084059270152198'],['https://t.co/UKx7J1nIEw'],Twitter for iPhone,0,0,0.00074627995
2022-06-01 23:59:34+00:00,1532149888494063617,@alepavanelli @taoquei1 @realamberheard #DemitaEm2022 estamos de 👁👁 nessa  Rô......lha... de.... po.... ço,https://twitter.com/DeolindaLucena/status/1532149888494063617,@alepavanelli @taoquei1 @realamberheard #DemitaEm2022 estamos de 👁👁 nessa  Rô......lha... de.... po.... ço,DeolindaLucena,3872,0,0,5,0,pt,1047582190769463296,,,,,1.532145719653634e+18,https://twitter.com/alepavanelli,"[User(username='alepavanelli', id=153874512, displayname='Alê Pavanelli 🇧🇷 🇺🇸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='taoquei1', id=1087259768, displayname='TeAtualizei 🇧🇷👊🏻❤️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['DemitaEm2022'],,"[User(username='alepavanelli', id=153874512, displayname='Alê Pavanelli 🇧🇷 🇺🇸', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='taoquei1', id=1087259768, displayname='TeAtualizei 🇧🇷👊🏻❤️', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for Android,0,1,0.99924016
2022-06-01 23:59:33+00:00,1532149887948791811,@Rap Amber Heard's reputation is fucked! It's fucked so badly it can't even walk straight.,https://twitter.com/Shawn0071986/status/1532149887948791811,@Rap Amber Heard's reputation is fucked! It's fucked so badly it can't even walk straight.,Shawn0071986,365,0,0,0,0,en,1532081168715325440,,,,,1.5320811687153254e+18,https://twitter.com/Rap,"[User(username='Rap', id=1062107257167593479, displayname='RapTV', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='Rap', id=1062107257167593479, displayname='RapTV', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,0,1,0.9565903
2022-06-01 23:59:33+00:00,1532149885360742400,Lmao amber heard just bought a house a few miles from where I live,https://twitter.com/KingKrymsn/status/1532149885360742400,Lmao amber heard just bought a house a few miles from where I live,KingKrymsn,54,0,0,0,0,en,1532149885360742400,,,,,,,,,,,,,,,Twitter for Android,0,0,0.01913029
2022-06-01 23:59:32+00:00,1532149883502739456,Not Amber Heard stans turning their comments off bc they know they look silly,https://twitter.com/Jay__Svpreme/status/1532149883502739456,Not Amber Heard stans turning their comments off bc they know they look silly,Jay__Svpreme,81,0,0,0,0,en,1532149883502739456,,,,,,,,,,,,,,,Twitter for iPhone,0,0,0.09247291
2022-06-01 23:59:32+00:00,1532149883494289410,"congrats to the #istandwithamberheard crew and to @realamberheard to causing more damage to women's rights then anyone. You are solely to blame for this, don't lie",https://twitter.com/Slykeren2/status/1532149883494289410,"congrats to the #istandwithamberheard crew and to @realamberheard to causing more damage to women's rights then anyone. You are solely to blame for this, don't lie",Slykeren2,0,0,0,1,0,en,1532149883494289410,,,,,,,"[User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,['istandwithamberheard'],,"[User(username='realamberheard', id=807003567605227520, displayname='Amber Heard', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter Web App,0,1,0.9969593
2022-06-01 23:59:32+00:00,1532149882856824837,"@coco1089 Im happy he won the case, Amber is truly a toxic person &amp; he didn’t deserve all the bashing. But a lot of ppl are talking about him as if hes an angel. Two things can be true.",https://twitter.com/_jennesis/status/1532149882856824837,"@coco1089 Im happy he won the case, Amber is truly a toxic person &amp; he didn’t deserve all the bashing. But a lot of ppl are talking about him as if hes an angel. Two things can be true.",_jennesis,212,1,0,1,0,en,1532142144068141057,,,,,1.5321451367209124e+18,https://twitter.com/coco1089,"[User(username='coco1089', id=238080492, displayname='Coco Malcomode', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,,,"[User(username='coco1089', id=238080492, displayname='Coco Malcomode', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,,Twitter for iPhone,0,0,0.16896924
2022-06-01 23:59:32+00:00,1532149880751374336,"Movie stars 
Speak in Mars tongue
Johnny Depp deciphered:
He is a low-budget, former ""IT"" boy
Guilty too -
But, Hollywood already knew that
Amber especially so
Goodbye, Johnny low-dog.

#poem #JohnnyDeppVsAmberHeardTrial #JohnnyDepp   #DeppVsHeard #AmberHeard #AmberHeard",https://twitter.com/Christo72001319/status/1532149880751374336,"Movie stars 
Speak in Mars tongue
Johnny Depp deciphered:
He is a low-budget, former ""IT"" boy
Guilty too -
But, Hollywood already knew that
Amber especially so
Goodbye, Johnny low-dog.

#poem #JohnnyDeppVsAmberHeardTrial #JohnnyDepp   #DeppVsHeard #AmberHeard #AmberHeard",Christo72001319,50,1,0,0,0,en,1532149880751374336,,,,,,,,,,"['poem', 'JohnnyDeppVsAmberHeardTrial', 'JohnnyDepp', 'DeppVsHeard', 'AmberHeard', 'AmberHeard']",,,,,Twitter Web App,0,0,0.0001004818
